,player,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3,GMM_Cluster
620,Prajnesh Gunneswaran,2.2152506511483158e-141,0.025447880315555366,0.01060912304861199,0.9639429966358323,3
621,Preston Stearns,0.9999036454967476,5.066798989633383e-23,9.544161429615829e-05,9.128889569758565e-07,0
622,Quentin Halys,0.0,2.226946519961452e-31,0.9999267617771975,7.323822280305184e-05,2
623,Radek Stepanek,0.008063557201311156,2.870239547963655e-13,0.9919364427984011,1.1209917978641137e-27,2
624,Radu Albot,2.9218261192331044e-26,0.9977941603523799,7.868428443523157e-06,0.0021979712191764838,1
625,Rafael Arevalo,0.9993754157084932,2.7433392113189746e-24,8.541518034197994e-09,0.0006245757499888544,0
626,Rafael Nadal,0.05270498671219772,0.9273546688068375,2.2977724829384935e-05,0.019917366756135327,1
627,Rainer Schuettler,0.29651686454330367,0.702439783852561,2.895255611070742e-05,0.0010143990480246388,1
628,Ramkumar Ramanathan,0.9993525718804849,4.1174458418200535e-10,0.0006473645671322228,6.314063828842255e-08,0
629,Raphael Collignon,5.0521925032538945e-22,0.9982782610576643,5.293231075685651e-05,0.001668806631578822,1
630,Raul Brancaccio,0.9999976818380081,6.377370756450816e-37,2.9347593265161013e-07,2.024686059944285e-06,0
631,Rei Sakamoto,0.9949250118516436,0.002050359301373267,0.0005801935489532,0.002444435298029586,0
632,Reilly Opelka,0.0,0.0025390528410548173,0.9974609375676937,9.591251332386143e-09,2
633,Renzo Olivo,0.0,4.735102407243552e-11,0.002425993274283027,0.9975740066783656,3
634,Ricardas Berankis,2.056106411140801e-10,0.9393619872121386,0.0006261963950014667,0.060011816187249205,1
635,Ricardo Hocevar,0.9508938006514619,0.037453217173467446,5.863878690370876e-05,0.011594343388166718,0
636,Riccardo Bonadio,0.9972551355596808,7.401694975459835e-08,1.52452069232816e-08,0.002744775178162908,0
637,Richard Gasquet,0.006495711458653096,0.9929802438300486,4.4497636172205814e-05,0.0004795470751260972,1
638,Richard Krajicek,7.967502377146902e-21,1.9084133708158252e-60,1.0,1.6862800361653788e-101,2
639,Rinky Hijikata,0.685655826690949,0.31090794876998423,0.0002193871335451647,0.003216837405521385,0
640,Rio Noguchi,0.9997176352453757,6.6945128925385756e-12,1.2524713642701003e-06,0.00028111227656545953,0
641,Robby Ginepri,0.7725274257624359,0.22412208095299715,0.00012691005175454698,0.003223583232812435,0
642,Robert Kendrick,0.754233777295132,4.749096619471772e-12,0.24576622270011972,1.1468470555422196e-19,0
643,Roberto Bautista Agut,6.19183746910153e-07,0.9988143072131878,5.476177684395461e-06,0.0011795974253809621,1
644,Roberto Carballes Baena,6.387692943750696e-141,0.992583965748786,2.6294695586915123e-05,0.007389739555626952,1
645,Roberto Cid,0.9913143169850351,7.425140581453354e-05,4.495758335245874e-06,0.008606935850814686,0
646,Roberto Marcora,0.0,5.547398870087054e-96,4.148246619686142e-13,0.9999999999995843,3
647,Roberto Quiroz,0.9998076498190063,2.547434874533397e-09,0.000192046916669512,3.007168896435412e-07,0
648,Robin Bertrand,0.9996395056737144,2.7686176652135863e-11,6.993467005836741e-06,0.0003535008315941068,0
649,Robin Haase,1.254000071209502e-97,0.9981579196753009,1.972093578744224e-05,0.0018223593889116177,1
650,Robin Soderling,0.1728304576172376,0.8259200770682729,0.0001716764501915188,0.0010777888642979217,1
651,Robin Vik,0.9835838065016188,0.016191829936034425,0.0002228519747381889,1.511587608683947e-06,0
652,Rodrigo Pacheco Mendez,1.7767897643522057e-133,0.8171831213607837,0.009788665897926967,0.17302821274128968,1
653,Roger Federer,0.015872420010445826,0.9821248950878991,0.0007712404003769751,0.0012314445012778258,1
654,Rogerio Dutra Silva,0.9999999280435085,3.7688416271075697e-44,1.0787070697361429e-11,7.194570378031896e-08,0
655,Roman Andres Burruchaga,0.0,5e-324,2.2098015801217103e-05,0.999977901984198,3
656,Roman Safiullin,0.08927359117199414,0.9099516871998999,4.7659321217272594e-05,0.000727062306888825,1
657,Roy Smith,5.212852546379304e-252,3.113431009167182e-11,0.9999981010938565,1.8988750086292198e-06,2
