player,return_points_won_percent,winners_percent,unforced_percent,aces_and_unret_percentage,net_frequency,net_points_won_ratio,forehand_side_shot_usage_pct,forehand_side_winner_pct,backhand_side_shot_usage_pct,backhand_side_winner_pct
Ricardo Hocevar,-0.1883288483707443,-1.1957584723041197,0.8520389922567841,-0.4513820106416881,-0.44753795767815996,0.30502373378266423,-0.8142325715282742,-0.4928954323085843,0.8448781036730076,-0.31205231570431935
Riccardo Bonadio,0.3524423594451678,-1.142996335488526,0.15240399893062812,-1.02984043937697,-0.5986874854285503,1.8242376741411948,-2.0093451224794734,-0.4462989316730107,2.031134976153391,-0.018304934432901196
Richard Gasquet,-0.077332261306509,0.3285676359101396,-0.8876506280159456,0.1295703191524398,-0.06286444709672763,0.16082715371476536,-1.1070543259983006,-0.09883756896460073,1.1315715460964622,0.4040303895253479
Richard Krajicek,-0.7653640060107166,1.38371904803346,-1.9685815278143186,1.8229314129363172,4.52751977899751,-0.40701391333888254,-1.83532050096201,3.7129746662214917,1.8583998617145177,3.513816580303128
Rinky Hijikata,0.010895678301816912,0.7005846560397584,-0.48746741621229744,0.36517866664759985,-0.017557326561060117,-0.48077658124362,-0.01234139336924619,0.3906952972632316,0.0489288683349369,0.6923667983443954
Rio Noguchi,-1.079043001588259,-1.624301619742998,-0.5133807555229932,0.08489715766498,-0.4762506938666921,-2.2269995021738382,-0.17987435560206047,-1.950383254909731,0.21522042611122832,-0.46293165244827494
Robby Ginepri,-0.6507804390311515,0.3125480524116236,0.09008208798932256,0.08793161694428091,-0.033210913038433286,-0.4444551414352591,-0.6530553811087876,0.3313277681281625,0.6848952220021369,-0.07422233975230834
Robert Kendrick,-1.2944668258121574,0.5551463872318696,1.1056169454158868,0.24556379108479137,1.5718509494126054,0.12271806093964044,-0.10860270159438988,0.5565880622494763,0.14447688876627227,1.8825562187532177
Roberto Bautista Agut,0.2191262184714252,-0.11951407226434692,-0.7234957350252679,-0.12665768453207507,-0.4292522619103237,0.04194612275600216,0.00992156249490615,-0.2880057925598505,0.019886734953881262,-0.9057218736541366
Roberto Carballes Baena,0.2565009531965475,-0.6299475979512259,-1.0270132622073394,-0.6129739059168231,-0.4040401335428907,0.4218863431771228,0.4485365059894226,-0.8771067943919445,-0.4445386713840326,-0.5244426664534083
Roberto Cid,1.1657366067730528,-0.6809156013809978,0.013482933361686338,-0.965695698528203,-0.26027026895331895,1.2717962407311059,1.290382832032632,-0.5637777072157603,-1.2441422855908506,-0.8108269826264864
Roberto Marcora,-1.5565482978191814,-2.1242686250883573,1.5916413556374998,-0.6938441777881876,-0.5285511075743478,-4.252618087292927,0.6003299267439879,-1.8573792242717206,-0.7365844244573297,0.2160253628995256
Roberto Quiroz,-0.3029587281712775,-0.7169234844220018,1.651543034655111,-0.8946897043050638,0.4157583563177357,0.39438925754133464,1.3081913901944249,-0.7958924102338419,-1.2618188839092104,-0.049653469193092055
Robin Bertrand,-1.5844460257239779,-2.2055132634569774,-0.09095402105362367,-1.4414358598232275,-0.4381825537256399,-1.214190206575866,-0.6577130359067879,-0.8723240803411144,0.6895183639893702,-1.29857105595326
Robin Haase,0.14654587032184455,0.3548409860736478,-0.4675390386880455,0.1762722617991737,-0.15781994803411628,0.5952106662789775,0.2755477617778298,0.11845538585215759,-0.2666368978849492,-0.09001128390192421
Robin Soderling,-0.2176878475730233,0.7263658655146159,0.15540126512152128,0.7127567897856405,-0.30005579033695357,0.30502373378266423,0.6434428704210006,0.0013697799766747836,-0.601996091968182,0.1441940775303421
Robin Vik,-0.3782497174039006,-1.9768556729968398,-0.7034134008325504,-0.5692455641156803,0.01727494679431398,-0.4545832363966009,-0.8650593454612728,-1.631181376406174,0.895328255699307,-0.8272500509275823
Rodrigo Pacheco Mendez,0.5914677753504604,0.1364517469080456,-1.478673151127307,0.7133872236895366,-0.4137589921470659,0.4218863431771228,1.5925883439446582,-0.3773600654336272,-1.5794329109268335,-1.3605358422301126
Roger Federer,0.6697489184323726,1.1356275900494894,-0.47636290776783763,0.6073769724938836,0.30029063728667404,0.28463924928114454,-0.49424740241342435,1.029116200003104,0.5230750806889849,0.296498040766472
