,player,Kmeans_cluster,hierarchial_cluster,GMM_Cluster,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3
602,Pavel Kotov,0,0,0,0.9956174986369531,8.558202827126925e-05,1.8447049588430203e-05,0.0042784722851869
603,Pavel Tsoy,3,1,0,0.999988101714723,1.890855161345184e-45,8.351728282206794e-18,1.1898285277690953e-05
604,Pedja Krstin,0,2,0,0.997669275063437,7.89562636405662e-08,6.3244914787582405e-09,0.0023306396558081
605,Pedro Araujo,0,0,0,0.9999465930406908,4.987943175057467e-23,8.06216470974726e-10,5.340615309303536e-05
606,Pedro Cachin,0,0,3,0.0,4.069937573321231e-58,0.0005755578107515,0.999424442189248
607,Pedro Martinez,1,0,1,2.4807996825122106e-29,0.9991902316366952,6.762816665081202e-06,0.0008030055466394
608,Pedro Sousa,3,0,3,1.198263563506609e-142,6.767021440331798e-07,4.3584053042358254e-05,0.9999557392448144
609,Pete Sampras,2,3,2,0.0001069274100468,1.1293035802466544e-19,0.9998930725899527,3.748307150961294e-27
610,Peter Bertran,3,1,0,0.9999941996353546,1.404748479905421e-16,5.188076154779082e-06,6.122884903631247e-07
611,Peter Fajta,1,0,0,0.998686931770284,8.953901538411151e-09,0.0001567687101165,0.0011562905656979
612,Peter Gojowczyk,3,0,1,2.2239739434861857e-16,0.9663754129014864,0.0019421462871081,0.0316824408114052
613,Peter Polansky,3,0,0,0.8077380137319631,0.1763068723086735,1.3506841932134085e-05,0.0159416071174312
614,Petros Tsitsipas,1,0,0,0.9992025147447314,1.2878263443418726e-16,0.0007960933136259,1.3919416429573817e-06
615,Philipp Kohlschreiber,1,0,1,3.5503697308127674e-16,0.997637527199438,2.1331408257017117e-05,0.0023411413923046
616,Philipp Petzschner,1,2,0,0.6085887519726344,4.8966418082254666e-08,0.3914111990609474,9.009673355460438e-17
617,Pierre Hugues Herbert,2,0,2,6.205297302302013e-140,0.019065410082461,0.9809345894307056,4.868328648299062e-10
618,Pol Martin Tiffon,3,2,0,0.9986244158288188,3.099259458638629e-11,8.498532726870268e-07,0.0013747342869158
619,Potito Starace,3,2,3,5.848211310022781e-207,0.1567718078698857,0.0069847003468347,0.8362434917832795
620,Prajnesh Gunneswaran,3,0,3,2.215250651148316e-141,0.0254478803155553,0.0106091230486119,0.9639429966358324
621,Preston Stearns,3,0,0,0.9999036454967476,5.066798989633383e-23,9.544161429615828e-05,9.128889569758564e-07
622,Quentin Halys,2,2,2,0.0,2.226946519961452e-31,0.9999267617771976,7.323822280305184e-05
623,Radek Stepanek,2,0,2,0.0080635572013111,2.870239547963655e-13,0.9919364427984012,1.1209917978641135e-27
624,Radu Albot,3,0,1,2.9218261192331044e-26,0.99779416035238,7.868428443523157e-06,0.0021979712191764
625,Rafael Arevalo,3,0,0,0.9993754157084932,2.7433392113189742e-24,8.541518034197994e-09,0.0006245757499888
626,Rafael Nadal,3,2,1,0.0527049867121977,0.9273546688068376,2.2977724829384932e-05,0.0199173667561353
627,Rainer Schuettler,0,0,1,0.2965168645433036,0.702439783852561,2.895255611070742e-05,0.0010143990480246
628,Ramkumar Ramanathan,3,0,0,0.9993525718804848,4.1174458418200535e-10,0.0006473645671322,6.314063828842256e-08
629,Raphael Collignon,3,0,1,5.052192503253895e-22,0.9982782610576644,5.293231075685651e-05,0.0016688066315788
630,Raul Brancaccio,1,2,0,0.999997681838008,6.377370756450816e-37,2.9347593265161013e-07,2.024686059944285e-06
631,Rei Sakamoto,1,0,0,0.9949250118516436,0.0020503593013732,0.0005801935489532,0.0024444352980295
632,Reilly Opelka,2,2,2,0.0,0.0025390528410548,0.9974609375676936,9.591251332386145e-09
633,Renzo Olivo,3,0,3,0.0,4.7351024072435515e-11,0.002425993274283,0.9975740066783656
634,Ricardas Berankis,1,0,1,2.0561064111408007e-10,0.9393619872121386,0.0006261963950014,0.0600118161872492
