player,winners_per_point,forced_per_point,unforced_per_point
Gilles Arnaud Bailly,0.2857142857142857,0.31746031746031744,0.3968253968253968
Gilles Muller,0.3894230769230769,0.21995192307692307,0.390625
Gilles Simon,0.2992675270317405,0.2560167422392745,0.444715730728985
Giorgio Galimberti,0.31746031746031744,0.1746031746031746,0.5079365079365079
Giovanni Lapentti,0.1590909090909091,0.4772727272727273,0.36363636363636365
Giovanni Mpetshi Perricard,0.3352745424292845,0.16888519134775373,0.49584026622296173
Giulio Zeppieri,0.2711864406779661,0.211864406779661,0.5169491525423728
Goncalo Oliveira,0.4148936170212766,0.12234042553191489,0.4627659574468085
Gonzalo Escobar,0.4057971014492754,0.391304347826087,0.2028985507246377
Gonzalo Lama,0.20512820512820512,0.28205128205128205,0.5128205128205128
Goran Ivanisevic,0.38990978950885397,0.23488138990978952,0.3752088205813565
Govind Nanda,0.3,0.13333333333333333,0.5666666666666667
Greg Rusedski,0.42564655172413796,0.2209051724137931,0.35344827586206895
Grega Zemlja,0.45454545454545453,0.4090909090909091,0.13636363636363635
Gregoire Barrere,0.2697160883280757,0.23817034700315456,0.49053627760252366
Grigor Dimitrov,0.3268457105577906,0.23181472219201912,0.4409046428183103
Guido Andreozzi,0.26495726495726496,0.23931623931623933,0.49572649572649574
Guido Pella,0.28173076923076923,0.2567307692307692,0.46153846153846156
Guillermo Canas,0.3435374149659864,0.2108843537414966,0.445578231292517
Guillermo Coria,0.3288166214995483,0.24209575429087624,0.4290876242095754
Guillermo Garcia Lopez,0.3658008658008658,0.2510822510822511,0.38095238095238093
Guillermo Vilas,0.3932926829268293,0.17682926829268292,0.4298780487804878
Gustavo Kuerten,0.3529810298102981,0.22594850948509485,0.421070460704607
Guy Den Ouden,0.32098765432098764,0.20987654320987653,0.4691358024691358
Guy Forget,0.3657587548638132,0.2169260700389105,0.4173151750972763
Hady Habib,0.24390243902439024,0.21951219512195122,0.5365853658536586
Hamad Medjedovic,0.2883895131086142,0.23220973782771537,0.4794007490636704
Harel Levy,0.3373493975903614,0.21686746987951808,0.4457831325301205
Harold Mayot,0.2702702702702703,0.35135135135135137,0.3783783783783784
Harold Solomon,0.32727272727272727,0.2,0.45454545454545453
Hendrik Dreekmann,0.4230769230769231,0.1794871794871795,0.3974358974358974
Henri Laaksonen,0.30454545454545456,0.19545454545454546,0.5
Henri Leconte,0.41075794621026895,0.19437652811735942,0.39364303178484106
Henrik Holm,0.4161073825503356,0.14093959731543623,0.4429530201342282
Henrik Sundstrom,0.42857142857142855,0.08571428571428572,0.4857142857142857
Henrique Rocha,0.1553398058252427,0.27184466019417475,0.5728155339805825
Hernan Casanova,0.22580645161290322,0.25806451612903225,0.5161290322580645
Hicham Arazi,0.20833333333333334,0.3541666666666667,0.4375
Hiroki Moriya,0.2857142857142857,0.061224489795918366,0.6530612244897959
Ho Gi Kang,0.12195121951219512,0.1951219512195122,0.6829268292682927
