player_name,rating,last_match
Matheus Pucinelli De Almeida,1534.8503595827224,2023-02-03
Marinko Matosevic,1534.4440178613293,2015-08-03
Julien Jeanpierre,1533.9419340659686,2004-07-19
Pruchya Isarow,1533.9298824426799,2016-09-16
Jesse Levine,1533.2629215254258,2013-08-05
Young Jun Kim,1532.8978331340356,2011-09-16
Florian Mayer,1532.7952191604131,2018-08-27
Mariano Sanchez,1532.7091532760878,2000-07-21
Alibek Kachmazov,1532.4537599401408,2024-09-18
Juan Manuel Cerundolo,1532.4342760525035,2024-02-26
Bjorn Fratangelo,1532.413998484076,2023-07-31
Juan Manuel Elizondo,1532.408272467267,2007-07-20
Facundo Bagnis,1532.209728717094,2024-04-22
Oliver Ojakaar,1532.0016406364286,2024-03-15
Andreas Seppi,1531.8820434294644,2022-06-06
Genaro Alberto Olivieri,1531.8524171332815,2023-05-29
Carl Sundberg,1531.8229693834141,2006-07-21
Daniel Nestor,1531.62361509671,2006-08-07
Romano Tatuhey,1531.5341571987958,2009-07-10
Jaume Munar,1531.5296486570685,2024-10-14
Cezar Cretu,1531.2488063853123,2024-09-13
Marcelo Barboza,1531.2051269462402,2001-07-20
Andrej Martin,1531.182953240855,2022-01-31
Bruno Soares,1531.177113901351,2011-07-08
Benjamin Lock,1531.1352950786452,2024-02-03
Marco Cecchinato,1531.0926504571971,2023-08-28
Aleksandre Bakshi,1531.0356844412956,2024-09-14
Mikhail Filima,1530.793671127892,2005-09-23
Luca Van Assche,1530.7735663415688,2024-12-18
Ricardo Ojeda Lara,1530.7482864681897,2018-04-30
Miguel Gallardo Valles,1530.6984174811716,2014-04-04
Marco Osorio,1530.662727369395,2000-04-07
Bruno Rodriguez,1530.5556725759172,2012-09-14
Olaf Pieczkowski,1530.528948084379,2022-09-16
Omar Hedayet,1530.4857851318804,2009-07-10
Martin Vilarrubi,1530.4804338064303,2007-02-09
Somdev Devvarman,1530.441938391728,2016-01-04
Dragos Dima,1530.3211750005103,2019-04-05
Scott Draper,1530.3190425300809,2005-06-20
Christian Harrison,1530.1927857786163,2022-06-27
Federico Delbonis,1530.1016473274378,2023-02-06
Iztok Bozic,1530.045569152992,2002-07-12
Michael Russell,1529.9147799288887,2015-01-19
Jan Mertl,1529.6424976287483,2016-07-18
James Auckland,1529.283935487105,2006-09-25
Ivo Minar,1529.2739454491943,2012-09-14
Luis Manuel Flores,1528.6099123858096,2009-07-10
Dominik Hrbaty,1528.375825774691,2010-02-01
Henri Kontinen,1528.3671913693988,2011-09-16
Adam Chadaj,1528.3276309845644,2005-08-01
Jonathan Chu,1528.3059997461141,2012-04-06
Agustin Calleri,1528.0905952022829,2009-06-22
Ivo Karlovic,1527.9858694506831,2021-08-30
Jean Jacques Rakotohasy,1527.9014224030493,2017-02-03
David Souto,1527.8418126469812,2018-04-07
Tennys Sandgren,1527.8323059759994,2024-02-05
Evgeny Korolev,1527.7441435870542,2013-07-15
Mario Vilella Martinez,1527.6147975983588,2021-07-26
Filip Cristian Jianu,1527.3202472227233,2023-02-03
Aqeel Khan,1527.3037276569464,2024-09-14
Danai Udomchoke,1527.2836891768943,2015-03-06
Sun Yong Kim Jr,1527.2675566588127,2007-02-09
Daniel Vallejo,1527.266969559011,2024-02-03
Thomaz Bellucci,1527.2633375557916,2023-02-20
Gyorgy Balazs,1527.073754830198,2011-09-16
Nikola Milojevic,1527.020354316303,2022-01-31
Alexis Galarneau,1526.4669687006888,2023-09-16
Maximilian Marterer,1526.1107806300313,2024-10-14
Simon Stadler,1526.1062368871105,2011-01-17
Kepler Orellana,1525.9086447792179,2004-07-16
Jerome Kym,1525.5412158505112,2024-10-21
Reda El Amrani,1525.4041783670407,2017-04-10
