player_name,surface,rating,last_match
Juan Pablo Brzezicki,Carpet,1482.7013056701492,2011-02-14
Mohamed Safwat,Carpet,1482.6245614397012,2024-09-13
Thomaz Bellucci,Carpet,1482.5731243664432,2023-02-20
Soren Wedege,Carpet,1482.5451490256899,2011-03-04
Olivier Patience,Carpet,1482.4728031154166,2010-07-26
Frederik Fetterlein,Carpet,1482.175671427012,2003-09-19
Bohdan Ulihrach,Carpet,1482.160443968183,2007-06-25
Prakash Amritraj,Carpet,1482.026692055021,2013-07-08
Nicolas Thomann,Carpet,1481.4719712914862,2006-10-23
Daniele Bracciali,Carpet,1481.2827898849555,2011-09-16
Gilles Simon,Carpet,1481.168606467369,2022-10-31
Michal Mertinak,Carpet,1481.1127266102571,2008-06-09
Harel Levy,Carpet,1480.8902094644966,2010-09-16
Karol Kucera,Carpet,1480.6948692250703,2005-12-02
Guillermo Garcia Lopez,Carpet,1480.682861102346,2019-08-26
David Guez,Carpet,1480.2427848912064,2016-02-15
Teymuraz Gabashvili,Carpet,1479.776725702371,2017-10-16
Marc Rosset,Carpet,1479.2601821324288,2004-10-25
Gaston Gaudio,Carpet,1479.0971897485847,2010-02-15
Ivo Heuberger,Carpet,1478.5617000095367,2005-09-12
Sam Querrey,Carpet,1478.2528201037878,2022-08-29
Andre Sa,Carpet,1477.539406300791,2007-09-21
Attila Balazs,Carpet,1477.363692993011,2023-08-28
Mardy Fish,Carpet,1477.0656330456166,2015-08-31
